name,n_hospitals,n_missing_beds,beds_known_sum,frac_missing
"Culebra zona urbana, PR",1,1,0.0,1.0
"Vieques (Vieques Municipio), PR",1,1,0.0,1.0
"Utuado, PR",1,1,0.0,1.0
"Fairbanks, AK",4,2,175.0,0.5
"Mobridge city, SD",4,2,37.0,0.5
"Cayey zona urbana, PR",4,2,366.0,0.5
"Nome city, AK",2,1,18.0,0.5
"Unalaska city, AK",2,1,4.0,0.5
"Alamogordo, NM",6,3,136.0,0.5
"Gallup, NM",23,11,507.0,0.4782608695652174
"Sheridan, WY",5,2,131.0,0.4
"Rugby city, ND",5,2,70.0,0.4
"Vernal, UT",3,1,88.0,0.3333333333333333
"Sitka, AK",3,1,52.0,0.3333333333333333
"Torrington, WY",3,1,50.0,0.3333333333333333
"San Juan zona urbana, PR",36,11,4986.0,0.3055555555555556
"San Germán--Cabo Rojo--Sabana Grande, PR",10,3,809.0,0.3
"Farmington, NM",10,3,399.0,0.3
"Colorado Springs, CO",24,7,3027.0,0.2916666666666667
"Tucson, AZ",38,11,3678.0,0.2894736842105263
"Yuma, AZ--CA",7,2,733.0,0.2857142857142857
"Cheyenne, WY",7,2,451.0,0.2857142857142857
"Roseburg, OR",7,2,410.0,0.2857142857142857
"Prescott--Prescott Valley, AZ",15,4,774.0,0.26666666666666666
"Grand Junction, CO",8,2,619.0,0.25
"Sioux City, IA--NE--SD",8,2,939.0,0.25
"Owensboro, KY",4,1,552.0,0.25
"Lamar, CO",4,1,73.0,0.25
"Wilmington, NC",8,2,1208.0,0.25
"Aberdeen, WA",8,2,145.0,0.25
"Safford, AZ",4,1,85.0,0.25
"Albuquerque, NM",37,9,2853.0,0.24324324324324326
"Manhattan, KS",13,3,450.0,0.23076923076923078
"Clarksville, TN--KY",9,2,1147.0,0.2222222222222222
"Clovis, NM",9,2,308.0,0.2222222222222222
"Great Falls, MT",9,2,536.0,0.2222222222222222
"Charleston, WV",14,3,1732.0,0.21428571428571427
"Rapid City, SD",14,3,664.0,0.21428571428571427
"Raleigh, NC",24,5,5037.0,0.20833333333333334
"Fort Leonard Wood--St. Robert--Waynesville, MO",5,1,371.0,0.2
"Boone, NC",5,1,235.0,0.2
"Watertown, NY",5,1,361.0,0.2
"Pittsfield, MA",5,1,458.0,0.2
"Boise City, ID",21,4,1892.0,0.19047619047619047
"Augusta-Richmond County consolidated government (balance), GA",16,3,2814.0,0.1875
"Huntington, WV--KY--OH",11,2,1736.0,0.18181818181818182
"Montgomery, AL",17,3,1694.0,0.17647058823529413
"Muskogee, OK",12,2,676.0,0.16666666666666666
"Minot, ND",6,1,477.0,0.16666666666666666
"Elko, NV",6,1,235.0,0.16666666666666666
"Emporia, KS",6,1,135.0,0.16666666666666666
"Elizabethtown--Radcliff, KY",6,1,565.0,0.16666666666666666
"Tuscaloosa, AL",13,2,1430.0,0.15384615384615385
"Fargo, ND--MN",13,2,1268.0,0.15384615384615385
"Murfreesboro, TN",14,2,1825.0,0.14285714285714285
"Nashua, NH--MA",28,4,2654.0,0.14285714285714285
"Columbia, MO",14,2,1357.0,0.14285714285714285
"St. Joseph, MO--KS",7,1,609.0,0.14285714285714285
"Virginia Beach city, VA",21,3,4152.0,0.14285714285714285
"Casper, WY",7,1,440.0,0.14285714285714285
"Edwards--Avon, CO",7,1,244.0,0.14285714285714285
"Parsons, KS",7,1,211.0,0.14285714285714285
"Oxford, MS",7,1,569.0,0.14285714285714285
"Beckley, WV",7,1,714.0,0.14285714285714285
"Anchorage, AK",14,2,1263.0,0.14285714285714285
"Sedalia, MO",7,1,343.0,0.14285714285714285
"Pensacola, FL--AL",22,3,3230.0,0.13636363636363635
"Morgantown, WV",15,2,1944.0,0.13333333333333333
"Phoenix--Mesa--Scottsdale, AZ",102,13,12722.0,0.12745098039215685
"Gulfport--Biloxi, MS",16,2,2303.0,0.125
"Rochester, NY",16,2,2907.0,0.125
"Waynesville, NC",8,1,414.0,0.125
"Bismarck, ND",8,1,647.0,0.125
"La Crosse, WI--MN",8,1,796.0,0.125
"Indianapolis, IN",58,7,7853.0,0.1206896551724138
"Hammond city, IN",25,3,3296.0,0.12
"Springfield, MA--CT",17,2,2122.0,0.11764705882352941
"Denver--Aurora, CO",61,7,9683.0,0.11475409836065574
"El Paso, TX--NM",35,4,3546.0,0.11428571428571428
"Tulsa, OK",44,5,4416.0,0.11363636363636363
"Starkville, MS",9,1,597.0,0.1111111111111111
"Dubuque, IA--IL",9,1,810.0,0.1111111111111111
"Hilton Head Island town, SC",9,1,744.0,0.1111111111111111
"Killeen, TX",27,3,2457.0,0.1111111111111111
"Ponce, PR",9,1,1072.0,0.1111111111111111
"Valdosta, GA",9,1,686.0,0.1111111111111111
"Billings, MT",9,1,744.0,0.1111111111111111
"McAlester, OK",9,1,301.0,0.1111111111111111
"Hartford, CT",47,5,11833.0,0.10638297872340426
"Scranton, PA",19,2,2728.0,0.10526315789473684
"Washington city, DC",39,4,8874.0,0.10256410256410256
"Trenton city, NJ",49,5,8566.0,0.10204081632653061
"Madison, WI",20,2,1953.0,0.1
"Honolulu, HI",20,2,2875.0,0.1
"Huntsville, AL",20,2,2803.0,0.1
"Williamsport, PA",20,2,1942.0,0.1
"Columbus, OH",42,4,8201.0,0.09523809523809523
"Salt Lake City, UT",53,5,6451.0,0.09433962264150944
"Topeka, KS",11,1,1509.0,0.09090909090909091
"Brownsville, TX",11,1,1474.0,0.09090909090909091
"Grand Island, NE",11,1,384.0,0.09090909090909091
"Ottumwa, IA",11,1,470.0,0.09090909090909091
"Harrisburg, PA",33,3,5253.0,0.09090909090909091
"Plattsburgh, NY",11,1,800.0,0.09090909090909091
"Shreveport, LA",34,3,3372.0,0.08823529411764706
"Philadelphia city, PA",96,8,19501.0,0.08333333333333333
"Panama City--Panama City Beach, FL",12,1,985.0,0.08333333333333333
"Leesburg town, VA",12,1,2020.0,0.08333333333333333
"Seattle--Tacoma, WA",74,6,10248.0,0.08108108108108109
"Wichita, KS",25,2,3197.0,0.08
"Sacramento, CA",38,3,4977.0,0.07894736842105263
"Joplin, MO",13,1,1017.0,0.07692307692307693
"Cincinnati, OH--KY",52,4,8622.0,0.07692307692307693
"Allentown--Bethlehem, PA--NJ",26,2,4663.0,0.07692307692307693
"Newark city, NJ",81,6,19583.0,0.07407407407407407
"Richmond, VA",27,2,6874.0,0.07407407407407407
"Bangor, ME",14,1,987.0,0.07142857142857142
"Tupelo, MS",14,1,1528.0,0.07142857142857142
"Canton, OH",14,1,2076.0,0.07142857142857142
"Grand Forks, ND--MN",14,1,903.0,0.07142857142857142
"Portland, ME",29,2,3015.0,0.06896551724137931
"Springfield, MO",15,1,2372.0,0.06666666666666667
"San Diego, CA",45,3,8382.0,0.06666666666666667
"Fort Smith, AR--OK",15,1,1389.0,0.06666666666666667
"Warner Robins, GA",15,1,1808.0,0.06666666666666667
"Providence, RI--MA",30,2,5130.0,0.06666666666666667
"Portland, OR--WA",30,2,6203.0,0.06666666666666667
"Columbia, SC",31,2,4266.0,0.06451612903225806
"Santa Barbara, CA",16,1,1736.0,0.0625
"Lexington-Fayette, KY",16,1,2988.0,0.0625
"Gainesville city, GA",16,1,2588.0,0.0625
"Sioux Falls, SD",16,1,1477.0,0.0625
"Newport News city, VA",16,1,2475.0,0.0625
"Kansas City, MO--KS",66,4,10087.0,0.06060606060606061
"Kalamazoo, MI",17,1,1538.0,0.058823529411764705
"Lincoln, NE",17,1,1674.0,0.058823529411764705
"Ardmore, OK",17,1,819.0,0.058823529411764705
"Fayetteville, NC",17,1,2333.0,0.058823529411764705
"Lebanon, NH--VT",17,1,879.0,0.058823529411764705
"Johnson City, TN",17,1,2941.0,0.058823529411764705
"Odessa, TX",17,1,1840.0,0.058823529411764705
"Pittsburgh, PA",52,3,10548.0,0.057692307692307696
"Charleston, SC",18,1,2601.0,0.05555555555555555
"Alexandria, LA",18,1,1341.0,0.05555555555555555
"Milwaukee, WI",54,3,6853.0,0.05555555555555555
"Baltimore, MD",36,2,8889.0,0.05555555555555555
"San Jose, CA",36,2,5955.0,0.05555555555555555
"Lafayette, LA",38,2,2614.0,0.05263157894736842
"Dover, DE",19,1,1751.0,0.05263157894736842
"Germantown CDP, MD",19,1,3076.0,0.05263157894736842
"Tampa--St. Petersburg, FL",57,3,11478.0,0.05263157894736842
"Minneapolis city, MN",39,2,9843.0,0.05128205128205128
"Tyler, TX",20,1,2148.0,0.05
"Bakersfield, CA",22,1,1817.0,0.045454545454545456
"Erie, PA",23,1,2654.0,0.043478260869565216
"Las Vegas--Henderson--Paradise, NV",46,2,6956.0,0.043478260869565216
"San Antonio, TX",71,3,10256.0,0.04225352112676056
"Winston-Salem, NC",24,1,4824.0,0.041666666666666664
"Atlanta city, GA",50,2,11353.0,0.04
"South Bend, IN--MI",25,1,2143.0,0.04
"Fresno, CA",26,1,3571.0,0.038461538461538464
"Los Angeles--Long Beach--Anaheim, CA",291,11,47872.0,0.037800687285223365
"Boston, MA--NH",106,4,18141.0,0.03773584905660377
"New York city, NY",107,4,34653.0,0.037383177570093455
"Orlando, FL",55,2,10610.0,0.03636363636363636
"Grand Rapids, MI",28,1,3389.0,0.03571428571428571
"Buffalo, NY",29,1,4393.0,0.034482758620689655
"Dayton, OH",30,1,4644.0,0.03333333333333333
"Louisville/Jefferson County, KY--IN",30,1,6173.0,0.03333333333333333
"Little Rock, AR",30,1,5016.0,0.03333333333333333
"Omaha, NE--IA",30,1,4525.0,0.03333333333333333
"San Francisco--Oakland, CA",102,3,13858.0,0.029411764705882353
"Charlotte, NC--SC",35,1,7659.0,0.02857142857142857
"Yonkers city, NY",38,1,7172.0,0.02631578947368421
"Lake Charles, LA",41,1,2709.0,0.024390243902439025
"Baton Rouge, LA",41,1,4193.0,0.024390243902439025
"Port St. Lucie city, FL",52,1,9099.0,0.019230769230769232
"New Orleans, LA",62,1,7365.0,0.016129032258064516
"Cleveland, OH",65,1,13450.0,0.015384615384615385
"Fort Worth city, TX",66,1,7532.0,0.015151515151515152
"Oklahoma City, OK",68,1,7236.0,0.014705882352941176
"Chicago city, IL",122,1,29196.0,0.00819672131147541
"Pierre, SD",2,0,57.0,0.0
"Milbank city, SD",7,0,160.0,0.0
"Pikeville, KY",9,0,1051.0,0.0
"Pine Bluff, AR",10,0,603.0,0.0
"Mountain Home, AR",1,0,268.0,0.0
"Philip city, SD",1,0,18.0,0.0
"Middlesborough, KY--TN",5,0,407.0,0.0
"Osceola, IA",4,0,100.0,0.0
"North Eagle Butte CDP, SD",1,0,8.0,0.0
"Muncie, IN",9,0,848.0,0.0
"Miles City, MT",3,0,75.0,0.0
"Nacogdoches, TX",5,0,435.0,0.0
"Miami, OK",6,0,343.0,0.0
"Miami city, FL",65,0,17408.0,0.0
"Mexia, TX",4,0,140.0,0.0
"Plainview, TX",4,0,133.0,0.0
"Platteville, WI",8,0,195.0,0.0
"Norfolk, NE",7,0,380.0,0.0
"Plentywood city, MT",2,0,44.0,0.0
"Newport, OR",3,0,99.0,0.0
"Nantucket, MA",1,0,14.0,0.0
"Nashville-Davidson, TN",29,0,8011.0,0.0
"O'Neill city, NE",5,0,104.0,0.0
"Natchez, MS--LA",8,0,733.0,0.0
"Parkersburg, WV--OH",6,0,1114.0,0.0
"Nebraska City, NE",5,0,80.0,0.0
"Nevada, MO",3,0,165.0,0.0
"Ord city, NE",1,0,16.0,0.0
"Mobile, AL",16,0,2543.0,0.0
"Paducah, KY--IL",10,0,1319.0,0.0
"Moberly, MO",2,0,124.0,0.0
"Pampa, TX",4,0,176.0,0.0
"Morristown, TN",4,0,378.0,0.0
"Paris, TN",3,0,237.0,0.0
"Moab, UT",3,0,53.0,0.0
"Moses Lake, WA",6,0,140.0,0.0
"Mitchell, SD",5,0,195.0,0.0
"North Platte, NE",3,0,154.0,0.0
"Parkston city, SD",5,0,98.0,0.0
"Otsego city, MN",7,0,290.0,0.0
"Missoula, MT",10,0,900.0,0.0
"Mount Sterling, KY",3,0,216.0,0.0
"Myrtle Beach--North Myrtle Beach, SC--NC",23,0,2772.0,0.0
"Olney, IL",3,0,179.0,0.0
"Peoria, IL",14,0,1776.0,0.0
"Petersburg CDP, AK",1,0,12.0,0.0
"Petoskey, MI",3,0,245.0,0.0
"Milledgeville, GA",6,0,496.0,0.0
"Norton city, KS",3,0,68.0,0.0
"Monroe, LA",23,0,1489.0,0.0
"San Angelo, TX",11,0,831.0,0.0
"Pocatello, ID",7,0,461.0,0.0
"Valley City, ND",2,0,43.0,0.0
"Uvalde, TX",1,0,25.0,0.0
"Utqiaġvik city, AK",1,0,10.0,0.0
"Ukiah, CA",5,0,180.0,0.0
"Twin Falls, ID",4,0,292.0,0.0
"Trinidad, CO",2,0,45.0,0.0
"Trenton, MO",2,0,41.0,0.0
"Traverse City--Garfield, MI",4,0,458.0,0.0
"Toms River CDP, NJ",17,0,4348.0,0.0
"Toledo, OH--MI",26,0,3425.0,0.0
"Tifton, GA",4,0,423.0,0.0
"Thompson Falls city, MT",1,0,16.0,0.0
"The Dalles, OR",4,0,102.0,0.0
"Texarkana, TX--AR",12,0,1203.0,0.0
"Terre Haute, IN",9,0,757.0,0.0
